·riky墨竹养乐多软糖·,08月30日 11:32,//weibo.com/7058813207/M3pqrlWrM?refer_flag=1001030103_,上周又是忙碌的一周今天早上才利用零碎的时间仔细看了看重庆山火的事情无论看过多少次，还是会被中国人民这种“大我”的精神感动以前上学的时候，我经常抱怨，抱怨这抱怨那，这种抱怨在去年的时候达到顶峰，开始怀疑自己的信仰以前我老是想，要写出一篇好新闻，就要“高大上”，就要“花团锦簇”，就要“歌颂”，甚至就算批评，都要“清高”，“姿态”摆出来因为这样的东西，人们爱看其实，这也是西方媒体最爱用的写作手法，我概括为：文字在哭泣，心里是生意我的导师问我：你的文字，要入受众眼，还是要入受众心？入受众眼，能带来大流量入受众心，能带来大感悟他是在基层工作过数年的人，按他的话来说：好新闻在黄土地，不在咖啡厅。任何一个在基层工作过的新闻人，无一不会对这个国家未来的发展充满信心。因为他见识了最广大也是最普通民众的赤子之心普通人才是最伟大的！最简单的，亦最打动人心 收起d,yellow,0,0,0
广东台触电新闻,08月30日 11:32,//weibo.com/6054450374/M3pqpymdP?refer_flag=1001030103_,【#女孩用漫画记录重庆山火感动瞬间#】近日，重庆山火牵动着全国人民的心，其中众多逆行者的灭火画面和可爱瞬间更是感动了众多市民。浙江杭州的陈女士看了新闻后被深深触动，将灭火时的一些“名场面”用漫画画了下来，生动温暖的画面获得了众多网友的点赞。O网页链接 L广东台触电新闻的微博视频 ?,blue,1,0,4
Gik-k082,08月30日 11:31,//weibo.com/7737321226/M3pqlaOyS?refer_flag=1001030103_,#思源驰援重庆山火#予人为乐，与己而乐。我在“思源驰援重庆山火”项目捐款成功！让我与@蔡徐坤全球粉丝后援会 一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会 思源驰援重庆山火 ?,yellow,0,0,0
上城检察,08月30日 11:31,//weibo.com/5189408270/M3pqhkfNP?refer_flag=1001030103_,【#英雄战士与英雄人民的双向奔赴#，真好】这几天，重庆人民自发送别消防员的一幕幕刷屏了。在这场灭火战斗中，消防员忍受极端高温与山火搏斗，他们是灭火英雄；各界群众不停运送物资，他们是平凡英雄。“平凡铸就伟大，英雄来自人民”，让我们致敬每一位挺身而出的英雄！重庆，重情！这样的双向奔赴，真好！#主播说联播#L央视新闻的微博视频 收起d,blue,0,4,0
三明中院,08月30日 11:31,//weibo.com/2610952981/M3pqcAtkX?refer_flag=1001030103_,【#重庆砍树救火志愿者相约植树#】重庆山火救援期间，黄佳琦报名成为砍隔离带的油锯手。他说，救援时“所有人都在支撑所有人，我变成我们”。山火被扑灭，志愿者相约报名植树，“砍树是为保护它，我们再给种回去。”此外，一个志愿者相亲群已经建立起来了。#重庆救火志愿者们建相亲群##相对论# L央视新闻的微博视频 收起d,blue,0,0,2
成都师范学院心理健康教育中心,08月30日 11:31,//weibo.com/7336359792/M3pqadGCc?refer_flag=1001030103_,#英雄战士与英雄人民的双向奔赴# 这几天，重庆人民自发送别消防员的一幕幕刷屏了。 在这场灭火战斗中，消防员忍受极端高温与山火搏斗，他们是灭火英雄；各界群众不停运送物资，他们是平凡英雄。 “平凡铸就伟大，英雄来自人民”，让我们致敬每一位挺身而出的英雄！ 救火英雄和平民英雄一样伟大，这是国人在灾难面前的态度！ 扑灭山火，英勇无所畏惧，感谢英雄，向守护山城的英雄致敬！ 收起d,blue,0,0,1
蚌埠政法,08月30日 11:31,//weibo.com/6392886792/M3pq42zBX?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（总台记者高丹丹 王迪 陈杨 牟亮） L央视新闻的微博视频 收起d,blue,0,0,0
正义随州,08月30日 11:31,//weibo.com/2537441860/M3ppZyaCH?refer_flag=1001030103_,#女孩画画致敬救援重庆山火的逆行者#【#漫画版重庆山火救援感人瞬间#】女孩把重庆山火的感动瞬间画成漫画记录下来，致敬所有的“逆行者”！ 新华网的微博视频 L新华网的微博视频 ?,blue,3,19,19
贵溪发布,08月30日 11:30,//weibo.com/6083245339/M3ppQE191?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！ L人民日报的微博视频 ?,blue,0,0,0
生活百科涨姿势,08月30日 11:30,//weibo.com/6563385174/M3ppHutCL?refer_flag=1001030103_,【#重庆砍树救火志愿者相约植树#】重庆山火救援期间，黄佳琦报名成为砍隔离带的油锯手。他说，救援时“所有人都在支撑所有人，我变成我们”。山火被扑灭，志愿者相约报名植树，“砍树是为保护它，我们再给种回去。”此外，一个志愿者相亲群已经建立起来了。#重庆救火志愿者们建相亲群##相对论# L2022-东南西北中的微博视频 收起d,yellow,0,0,0
新华网,08月30日 11:30,//weibo.com/2810373291/M3ppCeNGs?refer_flag=1001030103_,#女孩画画致敬救援重庆山火的逆行者#【#漫画版重庆山火救援感人瞬间#】女孩把重庆山火的感动瞬间画成漫画记录下来，致敬所有的“逆行者”！ L新华网的微博视频 ?,blue,35,9,230
北京青年报,08月30日 11:30,//weibo.com/1749990115/M3ppBFlSB?refer_flag=1001030103_,【“我是消防员，请求参加灭火！”#休假北京消防员奔赴重庆山火扑救一线#】8月26日晚，在重庆家中休假的北京大兴消防员兰书红，作为志愿者为山火扑救运送物资。当晚，他听到要对山火发起总攻的消息，立即申请参与灭火。天亮后，明火全部扑灭，工作24小时的志愿者们放松下来，在外面倒头就睡着了。辛苦了！（北京青年报记者 王雯雯 编辑 常伟琦） L青流视频的微博视频 收起d,blue,1,1,12
北青即时,08月30日 11:30,//weibo.com/5908906616/M3ppBC4bH?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（央视新闻）L央视新闻的微博视频 收起d,blue,0,0,0
九龙坡区文化和旅游发展委员会,08月30日 11:29,//weibo.com/3077531287/M3ppxxclE?refer_flag=1001030103_,【点赞！山火救援中的九龙力量】8月9日以来，重庆市北碚、巴南、大足、长寿、江津等地先后发生多起森林火灾。截至26日8时30分，经各方共同努力，森林火灾各处明火已全部扑灭，转入清理看守阶段，无人员伤亡和重要设施损失。此次森林火灾牵动了全国人民的心，山上山下、前方后方，救援人员、志愿者、企业……汇聚起磅礴又温暖的力量。而这其中，就有九龙坡的企业和志愿者。面对山火，九龙人积极主动加入灭火志愿队伍，为保卫家园注入力量。 收起d,blue,0,0,4
蚌埠政法,08月30日 11:29,//weibo.com/6392886792/M3ppqa878?refer_flag=1001030103_,【#重庆砍树救火志愿者相约植树#】重庆山火救援期间，黄佳琦报名成为砍隔离带的油锯手。他说，救援时“所有人都在支撑所有人，我变成我们”。山火被扑灭，志愿者相约报名植树，“砍树是为保护它，我们再给种回去。”此外，一个志愿者相亲群已经建立起来了。#重庆救火志愿者们建相亲群##相对论# L央视新闻的微博视频 收起d,blue,0,0,0
广西反邪教,08月30日 11:29,//weibo.com/5885640466/M3ppoklWo?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（总台记者高丹丹 王迪 陈杨 牟亮）#广西反邪快讯# L央视新闻的微博视频 收起d,blue,0,0,0
合肥共青团,08月30日 11:29,//weibo.com/2401556301/M3ppojgh5?refer_flag=1001030103_,【#重庆砍树救火志愿者相约植树#】重庆山火救援期间，黄佳琦报名成为砍隔离带的油锯手。他说，救援时“所有人都在支撑所有人，我变成我们”。山火被扑灭，志愿者相约报名植树，“砍树是为保护它，我们再给种回去。”此外，一个志愿者相亲群已经建立起来了。#重庆救火志愿者们建相亲群##相对论##合肥团团有话说# L央视新闻的微博视频 收起d,blue,0,1,0
私家车999广播,08月30日 11:29,//weibo.com/2773591493/M3ppmvFEg?refer_flag=1001030103_,【#重庆砍树救火志愿者相约植树#】重庆山火救援期间，黄佳琦报名成为砍隔离带的油锯手。他说，救援时“所有人都在支撑所有人，我变成我们”。山火被扑灭，志愿者相约报名植树，“砍树是为保护它，我们再给种回去。”此外，一个志愿者相亲群已经建立起来了。#重庆救火志愿者们建相亲群##相对论# L央视新闻的微博视频 收起d,blue,0,0,0
上虞公安,08月30日 11:28,//weibo.com/2131330840/M3pp2aI1v?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！L人民日报的微博视频 2绍兴·绍兴市公安局上虞区分局 收起d,blue,1,7,7
有数青年,08月30日 11:28,//weibo.com/6315203766/M3pp0pkz8?refer_flag=1001030103_,#重庆高校学生奔赴山火一线#主动请缨抗山火，逆行涉险不彷徨。山火无情人间有爱，重庆城科人工智能与大数据学院的00后学子坚守一线进山支援，保障后方物资渠道，他们青春的身影面对火苗毫无惧色，在山林中闪耀。#有数光# @中国消防 L有数青年的微博视频 ?,blue,0,0,3
渭南检察,08月30日 11:28,//weibo.com/5201566670/M3poYCRUY?refer_flag=1001030103_,【#重庆砍树救火志愿者相约植树#】重庆山火救援期间，黄佳琦报名成为砍隔离带的油锯手。他说，救援时“所有人都在支撑所有人，我变成我们”。山火被扑灭，志愿者相约报名植树，“砍树是为保护它，我们再给种回去。”此外，一个志愿者相亲群已经建立起来了。#重庆救火志愿者们建相亲群##相对论# L央视新闻的微博视频 收起d,blue,34,14,30
永州警事,08月30日 11:28,//weibo.com/1595424264/M3poYmmDh?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（总台记者高丹丹 王迪 陈杨 牟亮）L央视新闻的微博视频 收起d,blue,2,11,3
六月微竹,08月30日 11:28,//weibo.com/2709141641/M3poWg4we?refer_flag=1001030103_,重庆救山火娃们，质朴、勇敢、正直！震撼！赞！山火离主城区已经很近，如果不然 后果不堪设想！这些草根英雄及后勤人员必须上我们的头条。——————————————————————勇敢就是，在你还没开始的时候就知道自己注定会输，但依然义无反顾地去做，并且不管发生什么都坚持到底。一个人很少能赢，但也总会有赢的时候。——哈珀·李 《杀死一只知更鸟》 收起d,yellow,0,0,0
双流法院,08月30日 11:28,//weibo.com/5185280093/M3poVmRsm?refer_flag=1001030103_,【#重庆砍树救火志愿者相约植树#】重庆山火救援期间，黄佳琦报名成为砍隔离带的油锯手。他说，救援时“所有人都在支撑所有人，我变成我们”。山火被扑灭，志愿者相约报名植树，“砍树是为保护它，我们再给种回去。”此外，一个志愿者相亲群已经建立起来了。#重庆救火志愿者们建相亲群##相对论# L央视新闻的微博视频 收起d,blue,0,3,2
襄阳消防,08月30日 11:28,//weibo.com/2200140524/M3poUrpqn?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！ L人民日报的微博视频 ??? 收起d,blue,0,0,1
当涂检察,08月30日 11:28,//weibo.com/5559215404/M3poNo966?refer_flag=1001030103_,【#英雄战士与英雄人民的双向奔赴#，真好】这几天，重庆人民自发送别消防员的一幕幕刷屏了。在这场灭火战斗中，消防员忍受极端高温与山火搏斗，他们是灭火英雄；各界群众不停运送物资，他们是平凡英雄。“平凡铸就伟大，英雄来自人民”，让我们致敬每一位挺身而出的英雄！重庆，重情！这样的双向奔赴，真好！L央视新闻的微博视频 收起d,blue,0,4,1
央视新闻,08月30日 11:27,//weibo.com/2656274875/M3poxcpWC?refer_flag=1001030103_,【#重庆砍树救火志愿者相约植树#】重庆山火救援期间，黄佳琦报名成为砍隔离带的油锯手。他说，救援时“所有人都在支撑所有人，我变成我们”。山火被扑灭，志愿者相约报名植树，“砍树是为保护它，我们再给种回去。”此外，一个志愿者相亲群已经建立起来了。#重庆救火志愿者们建相亲群##相对论# L央视新闻的微博视频 收起d,blue,367,447,5250
武汉临空港,08月30日 11:27,//weibo.com/2797392924/M3pon6l39?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（央视新闻）L央视新闻的微博视频 收起d,blue,0,0,0
广西卫视,08月30日 11:26,//weibo.com/1899621707/M3podorWx?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（来源：央视新闻）L央视新闻的微博视频 收起d,blue,0,0,1
铜梁法院,08月30日 11:26,//weibo.com/3928702141/M3pocaj4G?refer_flag=1001030103_,#小铜转播# 【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（总台记者高丹丹 王迪 陈杨 牟亮）央视新闻的微博视频L央视新闻的微博视频 收起d,blue,0,0,0
神奇的老嫂子,08月30日 11:26,//weibo.com/6185411566/M3po9uBg0?refer_flag=1001030103_,#社会百态#“馒头当蛋糕，打火机当蜡烛！”重庆巴南山火，一救援队173名队员奋战一夜，砍出隔离带，午饭时，队员给队长过了一个特别的生日！你们辛苦了！ L神奇的老嫂子的微博视频 ?,yellow,0,1,3
银川消防,08月30日 11:26,//weibo.com/3379706192/M3po8BmkU?refer_flag=1001030103_,【#重庆山火英雄图鉴#】面前是漫天山火，身后是万家灯火。逆火而行的英雄，我们看不清你的脸，却看清一颗勇敢的心。谢谢你，蹈火出征的热血勇士；谢谢你，挺身而出的平凡英雄！（央视新闻）#英雄战士与英雄人民的双向奔赴# ?,blue,0,0,1
只为陈情,08月30日 11:26,//weibo.com/5573719925/M3po26rN4?refer_flag=1001030103_,今年四川，重庆的高温造成了山火频发，这些日子辛苦了那些上山灭火的消防官兵和广大的人民群众，每每看到那些视频我都感动的热泪盈眶，真的，我们的国家太了不起了，我们的人民太团结了，谢谢你们，你们辛苦了，向你们致敬 ?,yellow,0,0,0
安徽网络广播电视台,08月30日 11:26,//weibo.com/2106731774/M3pnXD8XJ?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！ L人民日报的微博视频 ?,blue,0,0,0
重庆沙坪坝法院,08月30日 11:25,//weibo.com/3913164606/M3pnzb7gX?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！   L人民日报的微博视频 收起d,blue,0,0,0
枣庄市中普法,08月30日 11:24,//weibo.com/5900810542/M3pnqzFzL?refer_flag=1001030103_,【#英雄战士与英雄人民的双向奔赴#，真好】这几天，重庆人民自发送别消防员的一幕幕刷屏了。在这场灭火战斗中，消防员忍受极端高温与山火搏斗，他们是灭火英雄；各界群众不停运送物资，他们是平凡英雄。“平凡铸就伟大，英雄来自人民”，让我们致敬每一位挺身而出的英雄！重庆，重情！这样的双向奔赴，真好！#小司推送# L央视新闻的微博视频 收起d,blue,0,0,0
三明消防,08月30日 11:24,//weibo.com/2412731132/M3pnpFlw1?refer_flag=1001030103_,三明消防身边事如果要用几个词来形容那几天的重庆，一定是所有逆行者的【汗水】和胜利后抑制不住的【欢呼】，这一幕幕不管多久我们都会记得...向所有不畏滔天山火逆向而行的人致敬！#摄影师被重庆灭火后的欢呼弄哭##云南消防员用重庆人民送的火锅底料煮火锅# L三明消防的微博视频 2三明 收起d,blue,33,40,377
四川残联,08月30日 11:24,//weibo.com/3158629034/M3pnpr2d1?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！L人民日报的微博视频 ?,blue,0,16,9
乌兰浩特政法,08月30日 11:24,//weibo.com/6579033207/M3pnbwBko?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（总台记者高丹丹 王迪 陈杨 牟亮）L央视新闻的微博视频 收起d,blue,0,10,6
重庆二中法院,08月30日 11:23,//weibo.com/3930360339/M3pn3iuMT?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！L人民日报的微博视频 ?,blue,5,8,43
中工网,08月30日 11:22,//weibo.com/2292896411/M3pmlbjtW?refer_flag=1001030103_,【现场震撼画面曝光！#摄影师被重庆灭火后的欢呼弄哭#】#重庆防火长城摄影师说现场更震撼# 在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（总台记者高丹丹 王迪 陈杨 牟亮）L央视新闻的微博视频 收起d,blue,0,0,1
高县公安,08月30日 11:21,//weibo.com/2641262894/M3pmjcJFG?refer_flag=1001030103_,#重庆山火扑救现场#【山火多可怕？一部根据真实事件改编的电影告诉你】山火爆燃到底有多可怕？电影《勇往直前》根据美国真实事件拍摄，20名格拉尼特山高手队尖刀消防员，在扑救一场森林火灾中19人牺牲。 保护森林，注意防火！#缙云山山火##重庆巴南山火明火被扑灭#L江苏消防的微博视频 ?,blue,0,1,0
华广网--中国华艺广播公司,08月30日 11:21,//weibo.com/1605622705/M3pmho4zm?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（央视新闻 总台记者高丹丹 王迪 陈杨 牟亮）L央视新闻的微博视频 收起d,blue,0,0,0
浙江之声,08月30日 11:21,//weibo.com/1718259005/M3pmhp9G3?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！ L人民日报的微博视频 ?,blue,0,0,1
新都教育,08月30日 11:21,//weibo.com/3028650845/M3pma24UP?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（总台记者高丹丹 王迪 陈杨 牟亮）L央视新闻的微博视频 收起d,blue,1,0,0
通辽发布,08月30日 11:21,//weibo.com/3917895981/M3pm9nafO?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！L人民日报的微博视频 ?,blue,0,0,0
凤凰名人馆,08月30日 11:21,//weibo.com/5654254535/M3pm2zhOm?refer_flag=1001030103_,【凤凰独家｜重庆山火航拍火遍网络 外交部发言人转发】一段记录#重庆山火#救援现场的航拍视频，在社交平台广泛传播，感动了很多人。拍摄者周瑄说，在扑火现场，上千名志愿者的头灯，在那一刻连成一条蓝色的线，将火海拦截在了另一边，互相不认识的山城人，展现了巨大的凝聚力。#重庆北碚山火明火已有效封控##重庆北碚火场胜利的欢呼# L凤凰名人馆的微博视频 收起d,blue,0,0,3
海西晨报,08月30日 11:20,//weibo.com/1692079024/M3plRlFnU?refer_flag=1001030103_,#摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（央视新闻）L央视新闻的微博视频 收起d,blue,0,0,0
巫溪县人民法院,08月30日 11:19,//weibo.com/3926895519/M3plhjMcS?refer_flag=1001030103_,【#英雄战士与英雄人民的双向奔赴#，真好】这几天，重庆人民自发送别消防员的一幕幕刷屏了。在这场灭火战斗中，消防员忍受极端高温与山火搏斗，他们是灭火英雄；各界群众不停运送物资，他们是平凡英雄。“平凡铸就伟大，英雄来自人民”，让我们致敬每一位挺身而出的英雄！重庆，重情！这样的双向奔赴，真好！#主播说联播#L央视新闻的微博视频 收起d,blue,0,23,11
直播新疆,08月30日 11:19,//weibo.com/1939861572/M3pleoGuK?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！ L人民日报的微博视频 ??? 收起d,blue,0,0,1
民乐融媒体中心,08月30日 11:18,//weibo.com/7041951828/M3pl09kcB?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！L人民日报的微博视频 ?,blue,12,17,17
Helena皌,08月30日 11:18,//weibo.com/6049149538/M3pkOBFDK?refer_flag=1001030103_,【O网页链接】向所有参与重庆山火扑救的人们致敬！（制作：重庆广电集团纪录片团队） O网页链接 ?,yellow,0,0,0
青海共青团,08月30日 11:17,//weibo.com/2113717622/M3pkvuQeR?refer_flag=1001030103_,【有爱！#这组手绘画出了重庆的英雄气#】双向奔赴的爱，从未改变！一组手绘，致敬英雄气的灭火英雄和山城人民。网友：#战山火英雄图鉴真的很重庆#！（那那手绘） ?#团青分享# ?,blue,1,0,1
双流西航港,08月30日 11:17,//weibo.com/2871867420/M3pkjFzXg?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！ L人民日报的微博视频 ?,blue,0,0,0
利津发布,08月30日 11:17,//weibo.com/2420473605/M3pkjEt5i?refer_flag=1001030103_,#利津县融媒体中心##摄影师被重庆灭火后的欢呼弄哭#【#重庆防火长城摄影师说现场更震撼#】在重庆山火的灭火战斗中，“人们都往有火的地方跑，去救火、送物资。”摄影师周瑄说，有人喊山上急需物资，立马就有无数双手举起来！听到明火被扑灭时，“大家都在欢呼，我情不自禁地流下了眼泪，灯光战胜了火光！”致敬英雄！（总 ??? ...展开播放视频L央视新闻的微博视频 收起d,blue,1,1,3
金喜哦,08月30日 11:16,//weibo.com/1974502154/M3pkb5tgz?refer_flag=1001030103_,重庆山火的机车少年，比赛车手还帅，长沙音乐厅交响乐演奏孤勇者的过程中，孩子们的即兴合唱，是最完美的大合唱。能看到这些视频，真好，日渐麻木的心，又热血沸腾、激情澎湃、热泪盈眶… ?,yellow,0,0,0
李巧不巧,08月30日 11:16,//weibo.com/2956051855/M3pjYpay8?refer_flag=1001030103_,少画一下可爱的瞬间，致敬孤勇者#重庆山火# L李巧不巧的微博视频 ?,yellow,0,0,1
平安洛宁,08月30日 11:16,//weibo.com/2051871693/M3pjVnsGu?refer_flag=1001030103_,【认识一下吧，#山火中可爱的他们有姓名#】骑摩托送物资，困了就用水浇头——他，叫龙杰；头戴蝴蝶结头盔，女娃儿也要冲山坡——她，叫吴朴慧；大汗淋漓，双手颤抖喝解暑药——他，叫龚其畅；深夜煮稀饭，请救火战士吃——她，叫王明芳。微光汇聚，感谢#重庆山火中的凡人凡心#！L人民日报的微博视频 ?,blue,0,0,1
